station_code,location,,,state,,,temperature_(0_c),,dissolved_oxygen_(mg/_l),,ph,,conductivity_(µmho/_cm),,,bio-chemical,,,nitrate_(mg/_l),,faecal_coliform_(mpn/_100_ml),,,,total_coliform_(mpn/_100_ml),
,,BIHAR,,,,,,,,,,,,,,,,,,,,,,,,
2560,,D/S DAHA RIVER AT,,BIHAR,15.0,,,28.0,,,6.4,,,9.7,,,6.9,,,8.1,,,216,,,641
,,"SASAMUSA, BIHAR",,,,,,,,,,,,,,,,,,,,,,,,
2561,,DAHA RIVER AT,,BIHAR,17.0,,,35.0,,,6.7,,,11.2,,,7.0,,,8.1,,,203,,,407
,,"ITWA BRIDGE,",,,,,,,,,,,,,,,,,,,,,,,,
,,"SIWAN, BIHAR",,,,,,,,,,,,,,,,,,,,,,,,
3129,"DAHA RIVER AT
MEERGANJ, BIHAR",,,BIHAR,17.0,,,35.0,,,6.2,,,10.8,,,7.0,,,8.5,,,202,,,417
,,DAHA RIVER AT,,,,,,,,,,,,,,,,,,,,,,,,
,,"MEERGANJ, BIHAR",,,,,,,,,,,,,,,,,,,,,,,,
1823,,DHOUS AT,,BIHAR,15.0,,,33.0,,,5.7,,,10.0,,,6.9,,,7.7,,,173,,,391
,,"MADHUBANI,",,,,,,,,,,,,,,,,,,,,,,,,
,,BIHAR,,,,,,,,,,,,,,,,,,,,,,,,
1824,"FARMAR AT
JOGBANI, BIHAR",,,BIHAR,15.0,,,31.0,,,7.0,,,8.5,,,6.7,,,8.4,,,204,,,340
2559,"RAM REKHA RIVER
AT HARINAGAR,",,,BIHAR,17.0,,,32.0,,,3.0,,,7.3,,,6.1,,,7.8,,,341,,,719
3130,"RAMREKHA RIVER
AT U/S
HARINAGAR, BIHAR",,,BIHAR,18.0,,,29.0,,,4.0,,,8.0,,,6.7,,,7.7,,,264,,,428
1822,"SIRISWAA AT
RUXOL,",,,BIHAR,13.0,,,31.0,,,0.0,,,6.3,,,6.9,,,7.6,,,238,,,1050
3136,"SIRISWA RIVER D/S
RAXAUL (KOERIA
TOLA), BIHAR",,,BIHAR,13.0,,,31.0,,,0.0,,,5.6,,,7.0,,,7.6,,,260,,,1080
3132,"BAGMATI RIVER AT
MUZAFFARPUR-",,,BIHAR,18.0,,,31.0,,,6.9,,,9.0,,,6.7,,,8.0,,,138,,,414
"Station
Code",LOCATION,,,STATE,"Temperature
(0 C)",,,,,,"Dissolved Oxygen
(mg/ L)",,,,,,pH,,,,,,"Conductivity
(µmho/ Cm)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,> 5.0 mg/ L,,,,,,6.5 - 8.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Min,,,Max,,,Min,,,Max,,,Min,,,Max,,,Min,,
,"SITAMARHI ROAD
BRIDG",,,,,,,,,,,,,,,,,,,,,,,,,
3135,"BAGMATI RIVER AT
DARBANGA,
SAMASTIPUR ROAD
BRIDGE,",,,BIHAR,14.0,,,32.0,,,6.0,,,12.8,,,6.2,,,8.2,,,227,,,409
,,BAGMATI RIVER AT,,,,,,,,,,,,,,,,,,,,,,,,
,,"DARBANGA,",,,,,,,,,,,,,,,,,,,,,,,,
,,SAMASTIPUR ROAD,,,,,,,,,,,,,,,,,,,,,,,,
,,"BRIDGE,",,,,,,,,,,,,,,,,,,,,,,,,
2572,,MAHANANDA AT,,BIHAR,14.0,,,30.0,,,7.3,,,10.2,,,7.0,,,8.0,,,109,,,332
,,"THAKURGANJ,",,,,,,,,,,,,,,,,,,,,,,,,
,,KISHANGANJ ROAD,,,,,,,,,,,,,,,,,,,,,,,,
,,BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,
3119,"POONPUN RIVER
NEAR POONPUN
RAIL BRIDGE,
BIHAR",,,BIHAR,14.0,,,31.0,,,6.8,,,12.1,,,6.9,,,8.5,,,210,,,429
3120,"POONPUN RIVER
NEAR KINZER ROAD
BRIDGE, BIHAR",,,BIHAR,17.0,,,33.0,,,7.1,,,15.0,,,7.2,,,8.6,,,199,,,430
"Station
Code",LOCATION,,,STATE,,,"Temperature
(0 C)",,"Dissolved Oxygen
(mg/ L)",,pH,,"Conductivity
(µmho/ Cm)",,,Bio-Chemical,,,"Nitrate
(mg/ L)",,"Faecal Coliform
(MPN/ 100 mL)",,,,"Total Coliform
(MPN/ 100 mL)",
,,,,,,,,,,,,,,,,Oxygen Demand,,,,,,,,,,
,,,,,,,,,,,,,,,,(mg/ L),,,,,,,,,,
,,,,,,,,,> 5.0 mg/ L,,6.5 - 8.5,,,,< 3.0 mg/ L,,,,,,,< 2500 MPN/ 100,,,,
,,,,,,,,,,,,,,,,,,,,,,mL,,,,
,,,,,,,Min,Max,Min,Max,Min,Max,Min,Max,Min,,Max,,Min,Max,Min,,Max,,Min,Max
1143,"TONS AT
CHAKGHAT, M.P.",,,"MADHYA
PRADESH",,,18.0,33.0,6.4,9.8,7.3,7.8,1,1,1.1,,1.9,,0.13,1.69,2,,6,,22,60
1144,"TONS AT
MADHAVGARH,
M.P.",,,"MADHYA
PRADESH",,,15.0,33.0,5.9,6.9,7.3,8.0,,,1.0,,2.4,,,,2,,16,,48,190
,,TONS AT,,,,,,,,,,,,,,,,,,,,,,,,
,,"MADHAVGARH,",,,,,,,,,,,,,,,,,,,,,,,,
,,M.P.,,,,,,,,,,,,,,,,,,,,,,,,
3328,,TONS AT,,"MADHYA
PRADESH",,,15.0,32.0,6.1,6.9,7.2,8.1,,,1.1,,2.8,,,,2,,10,,34,240
,,"MADHAVGARH,",,,,,,,,,,,,,,,,,,,,,,,,
,,NEAR PHED W/S,,,,,,,,,,,,,,,,,,,,,,,,
,,"INTAKE POINT, SA",,,,,,,,,,,,,,,,,,,,,,,,
3329,,TONS AT,,"MADHYA
PRADESH",,,18.0,31.0,7.2,9.5,7.2,7.9,,,0.8,,1.9,,0.27,1.05,2,,5,,22,40
,,CHAKGHAT NEAR,,,,,,,,,,,,,,,,,,,,,,,,
,,W/S PUMPING,,,,,,,,,,,,,,,,,,,,,,,,
,,"STATION, REWA",,,,,,,,,,,,,,,,,,,,,,,,
1735,,"GOVIND SAGAR,",,,UTTAR,,22.0,32.0,6.4,8.3,7.5,8.7,198,1206,3.6,,4.8,,,,1100,,1700,,1700,4100
,,U.P,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1356,,BETWA BEFORE,,"UTTAR
PRADESH",,,18.0,42.0,6.0,8.4,7.9,8.7,246,1022,4.8,,5.6,,,,1100,,2200,,2100,15000
,,CONF. YAMUNA AT,,,,,,,,,,,,,,,,,,,,,,,,
,,"HAMIRPUR, U.P.",,,,,,,,,,,,,,,,,,,,,,,,
2107,"BETWA U/S, BEENA",,,"MADHYA
PRADESH",,,21.0,32.0,6.7,7.6,7.0,8.5,342,384,0.8,,1.4,,0.30,1.25,2,,2,,1,4
2108,"BETWA D/S, BEENA",,,"MADHYA
PRADESH",,,21.0,30.0,6.6,7.5,7.0,8.5,277,399,0.8,,1.5,,0.30,1.42,2,,2,,2,7
,,"BETWA D/S, BEENA",,,,,,,,,,,,,,,,,,,,,,,,
2121,,BETWA NEAR,,"MADHYA
PRADESH",,,25.0,26.0,6.5,7.9,7.7,8.3,512,897,1.5,,3.8,,0.30,7.22,2,,150,,210,1600
,,"ROAD BRIDGE,",,,,,,,,,,,,,,,,,,,,,,,,
,,BHOJPUR,,,,,,,,,,,,,,,,,,,,,,,,
1614,,R.BETWA NEAR,,"MADHYA
PRADESH",,,17.0,30.0,6.3,8.2,7.3,8.5,314,508,0.9,,2.8,,2.33,8.95,2,,210,,170,2400
,,"INTAKE POINT,",,,,,,,,,,,,,,,,,,,,,,,,
,,"VIDISHA, M.P",,,,,,,,,,,,,,,,,,,,,,,,
"Station
Code",LOCATION,,,STATE,"Temperature
(0 C)",,"Dissolved Oxygen
(mg/ L)",,pH,,"Conductivity
(µmho/ Cm)",,,Bio-Chemical,,,"Nitrate
(mg/ L)",,"Faecal Coliform
(MPN/ 100 mL)",,,,"Total Coliform
(MPN/ 100 mL)",,,
,,,,,,,,,,,,,,Oxygen Demand,,,,,,,,,,,,
,,,,,,,,,,,,,,(mg/ L),,,,,,,,,,,,
,,,,,,,> 5.0 mg/ L,,6.5 - 8.5,,,,< 3.0 mg/ L,,,,,,,< 2500 MPN/ 100,,,,,,
,,,,,,,,,,,,,,,,,,,,mL,,,,,,
,,,,,Min,Max,Min,Max,Min,Max,Min,Max,Min,,Max,,Min,Max,Min,,Max,,Min,Max,,
2119,,BETWA AT,,"MADHYA
PRADESH",18.0,26.0,5.0,7.9,7.3,7.9,528,1128,1.5,,4.3,,0.30,10.75,2,,1600,,1600,43000,,
,,NAYAPUR D/S,,,,,,,,,,,,,,,,,,,,,,,,
,,MANDIDEEP INDL.,,,,,,,,,,,,,,,,,,,,,,,,
,,"AREA NO.1, DI",,,,,,,,,,,,,,,,,,,,,,,,
2120,,RIVER KALIASOT,,"MADHYA
PRADESH",24.0,26.0,6.4,7.4,7.4,8.4,502,815,2.9,,3.9,,0.30,6.95,2,,170,,430,2400,,
,,NEAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,
,,"BRIDGE,",,,,,,,,,,,,,,,,,,,,,,,,
,,MANDIDEEP,,,,,,,,,,,,,,,,,,,,,,,,
2122,,BETWA NEAR W/S,,"MADHYA
PRADESH",17.0,31.0,6.6,8.7,7.4,8.1,257,641,1.2,,3.7,,0.06,3.28,2,,540,,170,9200,,
,,INTAKE WELL,,,,,,,,,,,,,,,,,,,,,,,,
,,POINT RAISEN,,,,,,,,,,,,,,,,,,,,,,,,
2124,,BETWA AT,,"MADHYA
PRADESH",18.0,30.0,5.4,7.8,7.3,8.5,248,548,1.5,,12.1,,2.70,10.79,2,,2400,,640,160000,,
,,"CHARANTIRGHAT,",,,,,,,,,,,,,,,,,,,,,,,,
,,VIDISHA,,,,,,,,,,,,,,,,,,,,,,,,
2125,,BETWA D/S AFTER,,"MADHYA
PRADESH",18.0,31.0,6.2,8.6,7.5,8.6,292,549,1.2,,2.9,,2.40,11.55,2,,2400,,430,160000,,
,,MIXING OF RIVER,,,,,,,,,,,,,,,,,,,,,,,,
,,BAIS AT VIDISHA,,,,,,,,,,,,,,,,,,,,,,,,
2953,,RIVER KALI SINDH,,RAJASTHAN,19.0,30.0,3.9,7.7,7.8,8.4,210,760,0.8,,2.3,,1.70,3.16,4,,11,,21,150,,
,,AT ANICUT OF M/S,,,,,,,,,,,,,,,,,,,,,,,,
,,"CFCL GADEPAN, KO",,,,,,,,,,,,,,,,,,,,,,,,
2956,,RIVER KALI SINDH,,RAJASTHAN,18.0,31.0,4.2,7.8,7.7,8.4,230,1050,0.9,,2.5,,1.84,3.07,7,,14,,20,150,,
,,AT BAROD ROAD,,,,,,,,,,,,,,,,,,,,,,,,
,,"BRIDGE, KOTA,",,,,,,,,,,,,,,,,,,,,,,,,
,,RAJAS,,,,,,,,,,,,,,,,,,,,,,,,
3308,,CHAMBAL AT,,"MADHYA
PRADESH",23.0,26.0,6.1,6.9,7.2,7.9,502,750,1.1,,2.0,,0.30,1.27,2,,12,,38,50,,
,,"JAWNPAWA, FROM",,,,,,,,,,,,,,,,,,,,,,,,
,,"ORIGIN POINT,",,,,,,,,,,,,,,,,,,,,,,,,
,,INDORE,,,,,,,,,,,,,,,,,,,,,,,,
1365,,CHAMBAL AT,,"MADHYA
PRADESH",22.0,28.0,6.3,7.2,7.4,8.2,215,2246,2.0,,3.0,,0.11,2.01,4,,184000,,40,800000,,
,,NAGDA U/S,,,,,,,,,,,,,,,,,,,,,,,,
,,(WATER INTAKE,,,,,,,,,,,,,,,,,,,,,,,,
,,POINT) M.P.,,,,,,,,,,,,,,,,,,,,,,,,
1366,"CHAMBAL AT
NAGDA D/S, M.P.",,,"MADHYA
PRADESH",24.0,28.0,0.0,6.1,7.1,8.1,1072,11210,8.0,,64.0,,0.49,3.42,480,,14000,,1600,160000,,
"Station
Code",LOCATION,,,STATE,,,"Temperature
(0 C)",,"Dissolved Oxygen
(mg/ L)",,pH,,"Conductivity
(µmho/ Cm)",,,Bio-Chemical,,,"Nitrate
(mg/ L)",,"Faecal Coliform
(MPN/ 100 mL)",,,,"Total Coliform
(MPN/ 100 mL)",
,,,,,,,,,,,,,,,,Oxygen Demand,,,,,,,,,,
,,,,,,,,,,,,,,,,(mg/ L),,,,,,,,,,
,,,,,,,,,> 5.0 mg/ L,,6.5 - 8.5,,,,< 3.0 mg/ L,,,,,,,< 2500 MPN/ 100,,,,
,,,,,,,,,,,,,,,,,,,,,,mL,,,,
,,,,,,,Min,Max,Min,Max,Min,Max,Min,Max,Min,,Max,,Min,Max,Min,,Max,,Min,Max
3309,,CHAMBAL AT TAL,,"MADHYA
PRADESH",,,24.0,27.0,5.7,7.4,7.4,8.3,360,1352,2.0,,28.0,,0.83,2.97,7,,1100,,60,9200
,,VILLAGE NEAR,,,,,,,,,,,,,,,,,,,,,,,,
,,"BRIDGE, UJJAIN",,,,,,,,,,,,,,,,,,,,,,,,
1418,"CHAMBAL AT
GANDHI SAGAR
DAM, RAMPURA,
MP",,,"MADHYA
PRADESH",,,23.0,29.0,6.8,7.6,6.5,8.1,306,713,1.8,,2.0,,0.63,1.50,4,,40,,17,350
2955,"RIVER CHAMBAL
ENTERING IN
RAJASTHAN AT
GANDHI SAGA",,,RAJASTHAN,,,19.0,29.0,4.9,6.0,7.5,8.1,270,430,1.1,,2.6,,1.54,3.04,7,,14,,20,28
,,RIVER CHAMBAL,,,,,,,,,,,,,,,,,,,,,,,,
,,ENTERING IN,,,,,,,,,,,,,,,,,,,,,,,,
,,RAJASTHAN AT,,,,,,,,,,,,,,,,,,,,,,,,
,,GANDHI SAGA,,,,,,,,,,,,,,,,,,,,,,,,
1288,,CHAMBAL AT KOTA,,RAJASTHAN,,,20.0,32.0,5.3,6.9,7.3,8.1,290,440,0.8,,2.2,,1.54,2.46,4,,7,,7,14
,,U/S (INTAKE PT.,,,,,,,,,,,,,,,,,,,,,,,,
,,"NEAR BARRAGE),",,,,,,,,,,,,,,,,,,,,,,,,
,,RAJ,,,,,,,,,,,,,,,,,,,,,,,,
1289,"CHAMBAL AT KOTA
D/S (2 KM. FROM
CITY), RAJASTHAN",,,RAJASTHAN,,,19.0,32.0,3.4,6.6,7.5,8.4,330,840,1.1,,2.6,,2.06,3.07,9,,28,,64,210
,,CHAMBAL AT KOTA,,,,,,,,,,,,,,,,,,,,,,,,
,,D/S (2 KM. FROM,,,,,,,,,,,,,,,,,,,,,,,,
,,"CITY), RAJASTHAN",,,,,,,,,,,,,,,,,,,,,,,,
1413,,CHAMBAL AT,,RAJASTHAN,,,18.0,34.0,2.3,5.9,7.9,8.5,310,890,0.8,,9.6,,0.20,3.14,14,,75,,75,150
,,RAMESHWARGHAT,,,,,,,,,,,,,,,,,,,,,,,,
,,NR.,,,,,,,,,,,,,,,,,,,,,,,,
,,"SAWAIMADHOPUR,",,,,,,,,,,,,,,,,,,,,,,,,
,,RAJAST,,,RAJASTHAN,,,,,,,,,,,,,,,,,,,,,
1609,,R. CHAMBAL AT,,,MADHYA,,12.0,40.0,7.4,8.6,7.3,8.1,228,627,1.0,,2.0,,0.80,1.90,1,,2,,22,34
,,"DHOLPUR, M.P",,,PRADESH,,,,,,,,,,,,,,,,,,,,,
2126,"PARVATI A/C OF
VINDHYACHAL
NALLA, PILUKHEDI",,,"MADHYA
PRADESH",,,12.0,32.0,5.6,9.0,7.7,8.4,298,580,1.7,,2.4,,0.20,2.40,2,,6,,25,120
2954,"RIVER PARVATI
BEFORE MEETING
RIVER CHAMBAL
AT KHAT",,,RAJASTHAN,,,17.0,31.0,3.2,8.2,7.7,8.5,150,800,0.5,,4.8,,1.60,3.07,9,,20,,20,28
"Station
Code",LOCATION,,,STATE,,,"Temperature
(0 C)",,"Dissolved Oxygen
(mg/ L)",,pH,,"Conductivity
(µmho/ Cm)",,,Bio-Chemical,,,"Nitrate
(mg/ L)",,"Faecal Coliform
(MPN/ 100 mL)",,,,"Total Coliform
(MPN/ 100 mL)",
,,,,,,,,,,,,,,,,Oxygen Demand,,,,,,,,,,
,,,,,,,,,,,,,,,,(mg/ L),,,,,,,,,,
,,,,,,,,,> 5.0 mg/ L,,6.5 - 8.5,,,,< 3.0 mg/ L,,,,,,,< 2500 MPN/ 100,,,,
,,,,,,,,,,,,,,,,,,,,,,mL,,,,
,,,,,,,Min,Max,Min,Max,Min,Max,Min,Max,Min,,Max,,Min,Max,Min,,Max,,Min,Max
1432,,PARVATI NEAR,,"MADHYA
PRADESH",,,11.0,40.0,5.2,9.0,7.2,8.9,387,680,1.4,,2.6,,1.00,1.80,2,,4,,21,58
,,VILLAGE,,,,,,,,,,,,,,,,,,,,,,,,
,,"BATAODAPAR, M.P.",,,,,,,,,,,,,,,,,,,,,,,,
1615,"PARVATI NEAR
INTAKE POINT
PILLUKHEDI DISTT.
RAJG",,,"MADHYA
PRADESH",,,12.0,32.0,5.1,9.5,7.2,8.4,198,630,1.4,,2.2,,0.20,2.30,2,,4,,17,70
2109,,"PARVATI RIVER,",,,MADHYA,,11.0,35.0,5.4,8.2,7.6,8.7,318,570,1.5,,2.6,,0.30,1.80,2,,4,,15,79
,,GUNA,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
2950,,"DHANARI DAM,",,RAJASTHAN,,,11.0,26.0,4.7,6.2,7.6,8.4,290,650,0.9,,2.9,,2.46,3.10,7,,21,,20,93
,,NEAR,,,,,,,,,,,,,,,,,,,,,,,,
,,"SWAROOPGANJ,",,,,,,,,,,,,,,,,,,,,,,,,
,,"SIROHI,",,,,,,,,,,,,,,,,,,,,,,,,
,,RAJASTHAN,,,,,,,,,,,,,,,,,,,,,,,,
2951,"BISULPUR DAM,
TONK, RAJASTHAN",,,RAJASTHAN,,,18.0,32.0,4.2,8.8,7.3,8.2,400,900,1.1,,3.2,,2.10,3.04,7,,11,,11,28
,,"BISULPUR DAM,",,,,,,,,,,,,,,,,,,,,,,,,
,,"TONK, RAJASTHAN",,,,,,,,,,,,,,,,,,,,,,,,
2952,,NEAR NEWTA,,RAJASTHAN,,,15.0,35.0,1.5,3.1,7.6,8.5,1100,3900,3.9,,12.0,,2.62,3.16,23,,75,,75,150
,,"DAM, JAIPUR,",,,,,,,,,,,,,,,,,,,,,,,,
,,RAJASTHAN,,,,,,,,,,,,,,,,,,,,,,,,
2945,"UPSTREAM OF
CHHAPI DAM,
JHALAWAR,
RAJASTHAN",,,RAJASTHAN,,,19.0,30.0,3.4,7.8,7.4,8.4,220,380,0.8,,2.4,,1.60,2.68,4,,14,,11,28
3313,"KARIYARI U/S
BEFORE MIXING
WITH WASTE
WATER OF M/S",,,"MADHYA
PRADESH",,,20.0,26.0,6.6,8.8,7.0,7.8,,,0.7,,1.2,,0.30,0.63,2,,4,,17,32
3314,,KARIYARI 100 MTR.,,"MADHYA
PRADESH",,,20.0,25.0,6.4,8.1,7.5,7.9,,,1.2,,1.7,,0.30,0.78,2,,6,,21,36
,,D/S AFTER MIXING,,,,,,,,,,,,,,,,,,,,,,,,
,,WITH WASTE,,,,,,,,,,,,,,,,,,,,,,,,
,,WATE,,,,,,,,,,,,,,,,,,,,,,,,
"Station
Code",LOCATION,,,STATE,,,"Temperature
(0 C)",,"Dissolved Oxygen
(mg/ L)",,pH,,"Conductivity
(µmho/ Cm)",,,Bio-Chemical,,,"Nitrate
(mg/ L)",,"Faecal Coliform
(MPN/ 100 mL)",,,,"Total Coliform
(MPN/ 100 mL)",
,,,,,,,,,,,,,,,,Oxygen Demand,,,,,,,,,,
,,,,,,,,,,,,,,,,(mg/ L),,,,,,,,,,
,,,,,,,,,> 5.0 mg/ L,,6.5 - 8.5,,,,< 3.0 mg/ L,,,,,,,< 2500 MPN/ 100,,,,
,,,,,,,,,,,,,,,,,,,,,,mL,,,,
,,,,,,,Min,Max,Min,Max,Min,Max,Min,Max,Min,,Max,,Min,Max,Min,,Max,,Min,Max
1607,"GOHAD DAM,
GOHAD, M.P",,,"MADHYA
PRADESH",,,18.0,40.0,5.8,9.0,7.2,8.1,222,1237,1.5,,2.7,,0.80,3.40,2,,6,,34,220
,,"GOHAD DAM,",,,,,,,,,,,,,,,,,,,,,,,,
,,"GOHAD, M.P",,,,,,,,,,,,,,,,,,,,,,,,
3318,,MAHI AT,,"MADHYA
PRADESH",,,22.0,27.0,7.0,7.6,7.2,8.4,226,540,1.8,,3.0,,0.07,0.95,2,,902,,40,220
,,RANISINGH,,,,,,,,,,,,,,,,,,,,,,,,
,,"VILLAGE, RATLAM,",,,,,,,,,,,,,,,,,,,,,,,,
,,UJJAIN,,,,,,,,,,,,,,,,,,,,,,,,
2110,,RIVER KHAN AT,,"MADHYA
PRADESH",,,17.0,30.0,BDL,3.0,7.6,8.5,831,1840,10.0,,44.0,,0.94,23.39,170,,900,,900,1600
,,"SAKKAR KHADI,",,,,,,,,,,,,,,,,,,,,,,,,
,,INDORE,,,,,,,,,,,,,,,,,,,,,,,,
2111,,RIVER KHAN AT,,,MADHYA,,19.0,30.0,BDL,5.2,7.4,8.6,165,1681,2.8,,36.0,,1.58,18.09,60,,1600,,240,1600
,,SANWER,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1367,,KHAN AT KABIT,,"MADHYA
PRADESH",,,20.0,30.0,BDL,3.0,7.4,8.4,1127,1777,10.0,,52.0,,1.36,28.16,70,,700,,900,1600
,,KHEDI (NEAR,,,,,,,,,,,,,,,,,,,,,,,,
,,INDORE) M.P.,,,,,,,,,,,,,,,,,,,,,,,,
3317,,KSHIPRA AT W/S,,"MADHYA
PRADESH",,,20.0,26.0,7.0,7.4,7.3,8.4,298,340,1.8,,2.8,,0.20,0.98,4,,32,,46,350
,,INTAKE POINT OF,,,,,,,,,,,,,,,,,,,,,,,,
,,"DEWAS, UJJAIN",,,,,,,,,,,,,,,,,,,,,,,,
3315,,KSHIPRA AT,,,MADHYA,,22.0,29.0,5.2,8.4,6.8,8.3,430,1280,3.8,,9.0,,0.79,3.69,50,,14000,,300,160000
,,"GAUGHAT, UJJAIN",,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1369,"KSHIPRA AT
RAMGHAT AT
UJJAIN, M.P.",,,"MADHYA
PRADESH",,,22.0,29.0,4.8,8.5,7.4,8.1,592,1484,2.6,,14.0,,0.89,3.87,33,,17000,,350,160000
,,KSHIPRA AT,,,,,,,,,,,,,,,,,,,,,,,,
,,RAMGHAT AT,,,,,,,,,,,,,,,,,,,,,,,,
,,"UJJAIN, M.P.",,,,,,,,,,,,,,,,,,,,,,,,
1370,,KSHIPRA AT,,"MADHYA
PRADESH",,,22.0,33.0,4.5,8.2,7.0,8.2,361,1270,3.0,,7.0,,0.85,3.65,4,,12000,,70,160000
,,TRIVENISANGAM (1,,,,,,,,,,,,,,,,,,,,,,,,
,,KM. D/S OF,,,,,,,,,,,,,,,,,,,,,,,,
,,"SANGAM), M.",,,,,,,,,,,,,,,,,,,,,,,,
1468,"KSHIPRA AT
SIDDHAWAT (D/S)
OF UJJAIN., M.P.",,,"MADHYA
PRADESH",,,22.0,32.0,5.8,7.8,7.2,8.1,585,1559,8.0,,18.0,,0.77,4.55,130,,35000,,1600,160000
"Station
Code",LOCATION,,,STATE,,,"Temperature
(0 C)",,"Dissolved Oxygen
(mg/ L)",,pH,,"Conductivity
(µmho/ Cm)",,,Bio-Chemical,,,"Nitrate
(mg/ L)",,"Faecal Coliform
(MPN/ 100 mL)",,,,"Total Coliform
(MPN/ 100 mL)",
,,,,,,,,,,,,,,,,Oxygen Demand,,,,,,,,,,
,,,,,,,,,,,,,,,,(mg/ L),,,,,,,,,,
,,,,,,,,,> 5.0 mg/ L,,6.5 - 8.5,,,,< 3.0 mg/ L,,,,,,,< 2500 MPN/ 100,,,,
,,,,,,,,,,,,,,,,,,,,,,mL,,,,
,,,,,,,Min,Max,Min,Max,Min,Max,Min,Max,Min,,Max,,Min,Max,Min,,Max,,Min,Max
3316,,KSHIPRA AT U/S OF,,"MADHYA
PRADESH",,,24.0,30.0,6.1,7.8,7.5,8.5,459,1358,2.8,,4.2,,0.79,2.20,17,,1200,,170,16000
,,"MAHIDPUR CITY,",,,,,,,,,,,,,,,,,,,,,,,,
,,UJJAIN,,,,,,,,,,,,,,,,,,,,,,,,
3306,,RIVER CHOUPAN,,"MADHYA
PRADESH",,,11.0,40.0,5.8,9.0,7.3,8.4,260,534,1.3,,2.1,,0.60,1.80,2,,4,,17,63
,,AT VIJAYPUR U/S,,,,,,,,,,,,,,,,,,,,,,,,
,,"NFL NALLA, GUNA",,,,,,,,,,,,,,,,,,,,,,,,
3307,"RIVER CHOUPAN
AT VIJAYPUR 100
METRE D/S OF NFL
NAL",,,"MADHYA
PRADESH",,,11.0,39.0,5.0,8.2,7.8,8.5,370,549,1.7,,2.6,,0.98,1.80,2,,6,,26,110
3319,,NEWAJ AT W/S,,"MADHYA
PRADESH",,,22.0,27.0,6.6,7.4,7.3,7.9,300,557,2.0,,3.2,,0.20,1.13,2,,140,,49,920
,,"INTAKE POINT,",,,,,,,,,,,,,,,,,,,,,,,,
,,"SHUJALPUR, UJJAIN",,,,,,,,,,,,,,,,,,,,,,,,
3320,,NEWAJ AT U/S,,"MADHYA
PRADESH",,,12.0,40.0,7.0,9.0,7.5,8.5,199,512,1.2,,1.7,,0.60,1.60,2,,2,,22,36
,,NEAR W/S INTAKE,,,,,,,,,,,,,,,,,,,,,,,,
,,"POINT, RAJGARH,",,,,,,,,,,,,,,,,,,,,,,,,
,,GUNA,,,,,,,,,,,,,,,,,,,,,,,,
2117,,"RIVER BICHIA,",,"MADHYA
PRADESH",,,19.0,31.0,4.9,6.7,7.5,8.0,1,1,1.8,,3.9,,0.29,1.86,7,,24,,58,130
,,BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,
,,GOVINDGARH,,,,,,,,,,,,,,,,,,,,,,,,
,,ROAD,,,,,,,,,,,,,,,,,,,,,,,,
1433,"SANKH AT TIGRA
RESERVOIR, M.P.",,,"MADHYA
PRADESH",,,12.0,40.0,6.3,8.9,6.3,8.2,142,761,1.0,,2.1,,0.60,1.70,2,,4,,18,94
,,SANKH AT TIGRA,,,,,,,,,,,,,,,,,,,,,,,,
,,"RESERVOIR, M.P.",,,,,,,,,,,,,,,,,,,,,,,,
3310,,CHAMLA AT W/S,,"MADHYA
PRADESH",,,21.0,30.0,5.9,7.8,7.1,8.4,264,982,2.0,,3.2,,0.69,1.80,4,,58,,46,350
,,INTAKE POINT,,,,,,,,,,,,,,,,,,,,,,,,
,,"BADNAGAR, UJJAIN",,,,,,,,,,,,,,,,,,,,,,,,
1372,,MANDAKINI AT,,,MADHYA,,16.0,31.0,5.6,6.9,7.0,8.2,,,2.7,,6.9,,,,2,,4,,480,1200
,,"CHITRAKUT, M.P.",,,PRADESH,,,,,,,,,,,,,,,,,,,,,
3311,"JAMUNI AT
BARIYAGHAT U/S
NEAR INTAKE
POINT, TIKAMG",,,"MADHYA
PRADESH",,,21.0,36.0,6.4,7.6,7.1,8.5,286,394,0.4,,1.4,,0.30,0.97,2,,2,,1,6
1608,,R. SINDH AT,,,MADHYA,,12.0,42.0,7.4,8.3,7.4,8.7,198,680,1.4,,1.9,,0.60,2.00,2,,6,,34,70
,,"DABRA, M.P",,,PRADESH,,,,,,,,,,,,,,,,,,,,,
"Station
Code",LOCATION,,,STATE,,,"Temperature
(0 C)",,"Dissolved Oxygen
(mg/ L)",,pH,,"Conductivity
(µmho/ Cm)",,,Bio-Chemical,,,"Nitrate
(mg/ L)",,"Faecal Coliform
(MPN/ 100 mL)",,,,"Total Coliform
(MPN/ 100 mL)",
