,table,,table,,page,
3277,,"RIVER JHELUM AT
BARAMULLA D/S","JAMMU &
KASHMIR",,8.5,
4053,,RIVER JHELUM AT BIJEHARA,"JAMMU &
KASHMIR",,9.3,
4054,,"RIVER JHELUM AT
PANTHACHOWK","JAMMU &
KASHMIR",,7.8,
3278,,RIVER LIDDER AT LARIPORA,"JAMMU &
KASHMIR",,6.2,
3279,,RIVER LIDDER AT CLUB PARK,"JAMMU &
KASHMIR",,6.9,
3280,,RIVER LIDDER AT BUS ADDA,"JAMMU &
KASHMIR",,6.0,
3281,,"RIVER LIDDER AT YANEER,
D/S OF PHALGUM","JAMMU &
KASHMIR",,5.2,
3282,,"RIVER LIDDER NERA
BUMZOO, ANANTNAG","JAMMU &
KASHMIR",,6.3,
4051,,RIVER LIDDER AT NUNWAN,"JAMMU &
KASHMIR",,5.1,
4052,,"RIVER LIDDER NEAR
LAVENDER PARK","JAMMU &
KASHMIR",,6.5,
3283,,"RIVER SINDH AT SONAMARG
U/S","JAMMU &
KASHMIR",,3.0,
3284,,"RIVER SINDH AT SONAMARG
D/S","JAMMU &
KASHMIR",,3.0,
3285,,"RIVER SINDH AT WAIL
BRIDGE","JAMMU &
KASHMIR",,3.1,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
3286,,"RIVER SINDH AT
DUDERHAMA","JAMMU &
KASHMIR",,4.1,
3287,,"RIVER SINDH AT RANGIL,
SRINAGAR","JAMMU &
KASHMIR",,3.1,
2758,,"RIVER UJH AT DAM
SITE(L.H.S.), KATHUA","JAMMU &
KASHMIR",,15.0,
4161,,"RIVER SARSA NADI
CONFLUENCE POINT OF WITH
SUTLEJ, NR VILL ASPUR,
ROOPNAGAR",PUNJAB,,13.0,
3856,,RIVER SWAN U/S GAGRET,"HIMACHAL
PRADESH",,12.8,
3857,,RIVER SWAN D/S GAGRET,"HIMACHAL
PRADESH",,12.8,
3858,,"RIVER SWAN U/S
SANTOSHGARH BRIDGE","HIMACHAL
PRADESH",,12.5,
3859,,"RIVER SWAN U/S UNA TOWN
GHALLUWAL BRIDGE","HIMACHAL
PRADESH",,12.4,
4030,,"RIVER SWAN B/C OF GARNI
KHAD","HIMACHAL
PRADESH",,12.6,
4031,,"RIVER SWAN RIVER A/C
GARNI KHAD","HIMACHAL
PRADESH",,12.7,
1869,,"RIVER SWAN AT D/S NANGAL
DISTT. UNA","HIMACHAL
PRADESH",,12.6,
30011,,"RIVER SWAN AT DHANGLA
VILLAGE, SANTOSHGARH
(PUNJAB)",PUNJAB,,22.0,
4038,,"RIVER TIRTHAN B/C TO RIVER
SUTLEJ","HIMACHAL
PRADESH",,4.0,
2617,,"RIVER PABBAR AT U/S
DHAMBARI","HIMACHAL
PRADESH",,6.0,
2618,,"RIVER PABBAR AT U/S
ROHRU","HIMACHAL
PRADESH",,6.0,
4039,,RIVER PABBAR U/S HATKOTI,"HIMACHAL
PRADESH",,8.0,
4464,,"RIVER ALHI NOG(NEAR
WATER SUPPLY SCHEME","HIMACHAL
PRADESH",,17.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
,,"INTAKE)TRIBUTARY OF
SUTLEJ",,,,
4465,,"RIVER HARABAGH(INTAKE
FROM BBMB SOURCE-BBMB
ADIT HARABGH)WATE
SPRING","HIMACHAL
PRADESH",,17.0,
4036,,"KUNNI PUL, VILL SAMAHU,
PO KUNIHAR, TEHSIL ARKI","HIMACHAL
PRADESH",,8.0,
4479,,"RIVER ASHWANI AT
SADHUPUL (U/S OF BRIDGE
TOWARDS CHAIL.)","HIMACHAL
PRADESH",,9.0,
2620,,"RIVER ASHWANI AT U/S
YASHWANT NAGAR","HIMACHAL
PRADESH",,8.0,
4023,,"MANJHI KHAD U/S
DHARAMSHALA OF
KHANIYARA","HIMACHAL
PRADESH",,10.0,
4024,,"MANJHI KHAD D/S
DHARAMSHALA AT CHETRU","HIMACHAL
PRADESH",,9.0,
4025,,MOL KHAD U/S PALAMPU,"HIMACHAL
PRADESH",,15.0,
4026,,MOL KHAD D/S PALAMPU,"HIMACHAL
PRADESH",,14.0,
4457,,"RIVER BANER KHAD U/S
CHAMUNDA TEMPLE","HIMACHAL
PRADESH",,11.0,
4458,,"RIVER BANER KHAD D/S
CHAMUNDA TEMPLE","HIMACHAL
PRADESH",,12.0,
4460,,"CHARAN KHAD U/S
BHAGSUNAG","HIMACHAL
PRADESH",,8.0,
4428,,"ASHWINI KHAD U/S OF WEIR
SITE OF WTP NEAR ASHWANI
BRIDGE","HIMACHAL
PRADESH",,13.0,
4424,,"RAW WATER AT GUMMA
NAUTI KHAD","HIMACHAL
PRADESH",,11.0,
4432,,"DHAULI KHAD AT CHARAN
GANGA MEDI","HIMACHAL
PRADESH",,13.2,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
4431,,"SHIKARI KHAD B/ C RIVER
PABBAR NEAR HRTC ROHRU
BUS STAND","HIMACHAL
PRADESH",,7.0,
2626,,RIVER BATTA AT U/S PAONTA,"HIMACHAL
PRADESH",,11.0,
2627,,"RIVER BATTA BEFORE
CONFLUENCE TO YAMUNA","HIMACHAL
PRADESH",,11.0,
2913,,"RIVER KALI BEIN FALLING
INTO BEAS, PUNJAB",PUNJAB,,10.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1491,,"RIVER BHAGIRATHI AT
GANGOTRI,",UTTARAKHAND,,0.1,
1484,,"RIVER ALAKNANDA B/C
MANDAKINI AT RUDRA
PRAYAG",UTTARAKHAND,,8.0,
1486,,"RIVER ALAKNANDA A/C
MANDAKINI AT
RUDRAPRAYAG",UTTARAKHAND,,7.0,
1488,,"RIVER BHAGIRATHI B/C
WITH ALAKNANDA AT
DEVPRAYAG,",UTTARAKHAND,,12.0,
1487,,"RIVER ALAKNANDA B/C
TO BHAGIRATHI AT
DEVPRAYAG",UTTARAKHAND,,11.0,
1489,,"RIVER ALAKNANDA A/C
WITH BHAGIRATHI AT
DEVPRAYAG",UTTARAKHAND,,12.0,
1485,,"RIVER MANDAKINI B/C
ALKALNADA AT
RUDRAPRAYAG,",UTTARAKHAND,,7.0,
1060,,"RIVER GANGA AT
RISHIKESH U/S,",UTTARAKHAND,,10.0,
10147,,"RIVER GANGA D/S
RISHIKESH",UTTARAKHAND,,10.0,
2725,,"RIVER GANGA AFTER
CONFLUENCE OF SONG
NEAR SATYANARAYAN
TEMPLE D/S RAIWALA,
DEHRADUN",UTTARAKHAND,,16.0,
3997,,"RIVER GANGA U/S
HARIDWAR AT
ABINDUGHAT,
DUDHIYABAD,
HARIDWAR",UTTARAKHAND,,16.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
10148,,"RIVER GANGA AT HAR-
KI-PAURI GHAT",UTTARAKHAND,,13.1,
1061,,"RIVER GANGA AT
HARIDWAR D/S, UPPER
GANGA CANAL D/S
BALKUMARI MANDIR,
AJEETPUR, HARIDWAR",UTTARAKHAND,,13.0,
2727,,"RIVER GANGA AT UPPER
GANGA CANAL D/S
ROORKEE, HARIDWAR",UTTARAKHAND,,13.8,
30005,,"RIVER GANGA AT
SULTANPUR
(UTTARAKHAND)",UTTARAKHAND,,16.0,
30006,,"RIVER GANGA AT BIJNOR
(U.P.)",UTTAR PRADESH,,16.0,
10150,,"RIVER GANGA AT
MADHYA GANGA
BARRAGE, BIJNOR",UTTAR PRADESH,,-,
1062,,"RIVER GANGA AT
GARHMUKTESHWAR,
U.P",UTTAR PRADESH,,17.0,
10149,,"RIVER GANGA AT
GHARMUKTESHWAR",UTTAR PRADESH,,18.0,
2488,,"RIVER GANGA U/S,
ANOOPSHAHAR",UTTAR PRADESH,,16.0,
2489,,"RIVER GANGA D/S,
ANOOPSHAHAR",UTTAR PRADESH,,16.0,
1145,,"RIVER GANGA AT
NARORA
(BULANDSAHAR)",UTTAR PRADESH,,16.0,
2490,,"RIVER GANGA AT
KACHHLA GHAT,
ALIGARH",UTTAR PRADESH,,19.0,
10151,,"RIVER GANGA AT
FARRUKABAD",UTTAR PRADESH,,10.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1063,,"RIVER GANGA AT
KANNAUJ U/S
(RAJGHAT), U.P",UTTAR PRADESH,,15.0,
1066,,"RIVER GANGA AT
KANNAUJ D/S, U.P",UTTAR PRADESH,,15.0,
1146,,"RIVER GANGA AT
BITHOOR (KANPUR),
U.P.",UTTAR PRADESH,,15.0,
1067,,"RIVER GANGA AT
KANPUR U/S
(RANIGHAT), U.P",UTTAR PRADESH,,15.0,
10154,,"RIVER GANGA AT
BATHING GHAT
(BHARAOGHAT)",UTTAR PRADESH,,15.0,
10155,,"RIVER GANGA AT D/S
(SHUKLAGANJ)",UTTAR PRADESH,,10.0,
1068,,"RIVER GANGA AT
KANPUR D/S (JAJMAU
PUMPING STATION), U.P",UTTAR PRADESH,,10.0,
10157,,"RIVER GANGA AT
BATHING GHAT (JAJMAU
BRIDGE)",UTTAR PRADESH,,15.0,
1147,,"RIVER GANGA AT
DALMAU (RAI BAREILLY),
U.P.",UTTAR PRADESH,,18.0,
2498,,"RIVER GANGA AT KALA
KANKAR, RAEBARELI",UTTAR PRADESH,,18.0,
1046,,"RIVER GANGA AT
ALLAHABAD
(RASOOLABAD), U.P.",UTTAR PRADESH,,18.4,
2487,,"RIVER GANGA AT
KADAGHAT, ALLAHABAD",UTTAR PRADESH,,18.5,
1049,,"RIVER GANGA AT
ALLAHABAD D/S
(SANGAM), U.P.",UTTAR PRADESH,,18.6,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
10158,,"RIVER GANGA A/C
TAMSA RIVER, SIRSA,
SON BARSA",UTTAR PRADESH,,18.5,
2485,,"RIVER GANGA U/S,
VINDHYACHAL,
MIRZAPUR",UTTAR PRADESH,,18.0,
2486,,"RIVER GANGA D/S,
MIRZAPUR",UTTAR PRADESH,,18.5,
10153,,"RIVER GANGA AT
CHUNAR",UTTAR PRADESH,,18.5,
1070,,"RIVER GANGA AT
VARANASI U/S
(ASSIGHAT), U.P",UTTAR PRADESH,,18.0,
1071,,"RIVER GANGA AT
VARANASI D/S
(MALVIYA BRIDGE), U.P",UTTAR PRADESH,,18.0,
10152,,"RIVER GANGA A/C
GOMTI RIVER,
BHUSAULA",UTTAR PRADESH,,18.5,
10156,,"RIVER GANGA AT
BATHING GHAT (GOLA
GHAT)",UTTAR PRADESH,,15.0,
1073,,"RIVER GANGA AT
TRIGHAT (GHAZIPUR),
U.P",UTTAR PRADESH,,18.5,
30075,,"RIVER GANGA AT
TARIGHAT GHAZIPUR
(U.P.)",UTTAR PRADESH,,21.0,
1074,,RIVER GANGA AT BUXAR,BIHAR,,13.0,
10113,,"RIVER GANGA AT U/S
JAIL GHAT, BUXAR",BIHAR,,13.0,
2551,,"RIVER GANGA AT
BUXAR,
RAMREKHAGHAT",BIHAR,,14.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
3113,,"RIVER GANGA AT D/S
BUXAR NEAR ROAD
BRIDGE",BIHAR,,16.0,
10131,,"RIVER GANGA AT U/S
BARAHPUR BINDTOLI",BIHAR,,13.0,
30076,,"RIVER GANGA AT
MANJHIGHAT(BIHAR)",BIHAR,,21.0,
10162,,"RIVER GANGA AT ARA-
CHAPRA ROAD BRIDGE
(KOILWER BANURA-
CHAPRA ROAD)",BIHAR,,14.0,
2564,,"RIVER GANGA AT THE
CONFLUENCE OF SONE
RIVER DORIGANJ,
CHAPRA",BIHAR,,13.0,
10114,,"RIVER GANGA AT MAA
AMBIKA ASTHAN, AAMI,
SARAN",BIHAR,,12.0,
3114,,"RIVER GANGA NEAR
DANAPUR (NEAR PIPA
PUL) ,PATNA",BIHAR,,16.0,
1077,,"RIVER GANGA AT KURJI,
PATNA U/S",BIHAR,,16.0,
2552,,"RIVER GANGA AT
GANDHIGHAT, NIT
PATNA",BIHAR,,16.0,
10115,,"RIVER GANGA AT
GULABI GHAT",BIHAR,,16.0,
1079,,"RIVER GANGA AT PATNA
D/S (GANGA BRIDGE),
GAIGHAT",BIHAR,,15.0,
3122,,"RIVER GANGA AT
MALSALAMI, PATNA",BIHAR,,14.0,
4297,,"RIVER GANGA AT
KACHCHI-DARGAH-
BIDUPUR ROAD BRIDGE,
PATNA",BIHAR,,14.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
10122,,"RIVER GANGA AT
TRIVENI GHAT, PATNA",BIHAR,,14.0,
4301,,"RIVER GANGA AT
BAKHTIYARPUR-TAJPUR
BRIDGE ON GANGA,
ATHMALGOLA",BIHAR,,14.0,
2553,,"RIVER GANGA AT
KEWALA GHAT,FATUHA,
PATNA",BIHAR,,14.0,
3115,,RIVER GANGA AT BARH,BIHAR,,14.0,
10130,,"RIVER GANGA AT D/S
NAWADAGHAT , BARH
,PATNA",BIHAR,,14.0,
1817,,"RIVER GANGA AT
MOKAMA (U/S),
MAHADEO ASTHAN,
PATNA",BIHAR,,13.0,
1815,,"RIVER GANGA AT
MOKAMA (D/S)",BIHAR,,15.0,
3123,,"RIVER GANGA AT
BARAHIYA, NEPALITOLA,
MARANCHI,
;LAKSHISARAI",BIHAR,,14.0,
3116,,"RIVER GANGA AT U/S
MUNGER (NEAR INTAKE
WELL ON GANGA)",BIHAR,,17.0,
1818,,"RIVER GANGA AT
MUNGER",BIHAR,,17.0,
3117,,"RIVER GANGA AT U/S
SULTANGANJ,
BHAGALPUR",BIHAR,,17.0,
4398,,"RIVER GANGA AT WATER
INTAKE POINT,
BHAGALPUR",BIHAR,,15.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
2554,,"RIVER GANGA AT
SULTANGANJ,
BHAGALPUR",BIHAR,,17.0,
10138,,"RIVER GANGA AT
CHAMPANAGAR,
BHAGALPUR",BIHAR,,15.0,
1819,,"RIVER GANGA AT
BHAGALPUR",BIHAR,,15.0,
3118,,"RIVER GANGA AT U/S
BHAGALPUR NEAR
BARARIGHAT",BIHAR,,15.0,
1816,,"RIVER GANGA AT
KAHALGAON",BIHAR,,14.0,
10143,,"RIVER GANGA D/S NEAR
CREMATION GHAT",BIHAR,,14.0,
10144,,"RIVER GANGA U/S NEAR
LCT GHAT",JHARKHAND,,16.0,
10145,,"RIVER GANGA D/S NEAR
JANTA GHAT",JHARKHAND,,17.0,
10146,,"RIVER GANGA AT SANGI
DALAN",JHARKHAND,,15.0,
1059,,"RIVER GANGA AT
RAJMAHAL, JHARKHAND",JHARKHAND,,16.0,
1080,,"RIVER GANGA AT
BAHARAMPORE,
MURSHIDABAD, WEST
BENGAL",WEST BENGAL,,18.0,
10159,,"RIVER GANGA AT
BEHRAMPORE(KHAGRA),
MURSHIDABAD",WEST BENGAL,,18.0,
10160,,"RIVER GANGA AT
BEHRAMPORE, (GORA
BAZAR),MURSHIDABAD",WEST BENGAL,,18.0,
2506,,"RIVER TRIBENI ON
GANGA, NEAR BURNING
GHAT, HOOGHLY",WEST BENGAL,,19.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
2511,,"RIVER NABADIP ON
GANGA, GHOSHPARA
NEAR
MONIPURGHAT,NADIA",WEST BENGAL,,17.0,
10161,,"RIVER GANGA AT PALTA,
SHITALTALA,",WEST BENGAL,,19.0,
1054,,"RIVER GANGA AT PALTA
WEST BENGAL",WEST BENGAL,,19.0,
1472,,"RIVER GANGA AT
SERAMPORE,
HOOGHLY,WEST BENGAL",WEST BENGAL,,19.0,
1053,,"RIVER GANGA AT
DAKSHMINESHWAR,
KOLKATA, WEST BENGAL",WEST BENGAL,,19.0,
1471,,"RIVER GANGA AT
HOWRAH-SHIVPUR
WEST BENGAL",WEST BENGAL,,21.0,
1470,,"RIVER GANGA AT
GARDEN REACH,
KOLKATA, WEST BENGAL",WEST BENGAL,,19.0,
1052,,"RIVER GANGA AT
ULUBERIA ,
HOWRAH,WEST BENGAL",WEST BENGAL,,19.0,
1335,,"RIVER GANGA AT
PATIKALI NEAR DURGA
CHAK WEST BENGAL",WEST BENGAL,,19.0,
1469,,"RIVER GANGA AT
DIAMOND HARBOUR, 24
PARGANAS (S)WEST
BENGAL",WEST BENGAL,,23.0,
"STATI
ON
CODE",,"NAME OF
MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA,,,,,
,"NOTIFIED UNDER E(P) RULES, 1986",,,,,
1492,,"RIVER YAMUNA AT
YAMUNOTRI","UTTARAKH
AND",,10.0,
1493,,"RIVER YAMUNA AT
HANUMANCHATTI","UTTARAKH
AND",,9.0,
1494,,"RIVER YAMUNA AT
U/S OF LAKHWAR
DAM","UTTARAKH
AND",,14.0,
30025,,"RIVER YAMUNA AT
DAK PATHER
(UTTARAKHAND)","UTTARAKH
AND",,13.0,
1490,,"RIVER YAMUNA AT
U/S DAK PATHER,","UTTARAKH
AND",,14.0,
30027,,"RIVER YAMUNA AT
PONTA SAHIB","HIMACHAL
PRADESH",,14.0,
1553,,"RIVER YAMUNA U/S
PAONTA SAHIB","HIMACHAL
PRADESH",,15.0,
1554,,"RIVER YAMUNA D/S
PAONTA SAHIB","HIMACHAL
PRADESH",,13.0,
4439,,"RIVER YAMUNA U/S
RANBAXY","HIMACHAL
PRADESH",,13.0,
4440,,"RIVER YAMUNA D/S
RANBAXY","HIMACHAL
PRADESH",,13.0,
30028,,"RIVER YAMUNA AT
BURIYA U/S
JAGADHARI,
MANDOLI, HARYANA",HARYANA,,14.2,
30035,,"RIVER YAMUNA AT
HATHNIKUND",HARYANA,,15.0,
1117,,"RIVER YAMUNA AT
HATHNIKUND,
YAMUNANAGAR",HARYANA,,-,
1496,,"RIVER YAMUNA AT
KALANAUR,
YAMUNA NAGAR",HARYANA,,-,
"STATI
ON
CODE",,"NAME OF
MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA,,,,,
,"NOTIFIED UNDER E(P) RULES, 1986",,,,,
4914,,"RIVER YAMUNA AT
MANGLAURA,
KARNAL",HARYANA,,21.0,
30032,,"RIVER YAMUNA AT
SONAULI ROAD,
SHAMLI BORDER ,
PANIPAT (HARYANA)",HARYANA,,30.0,
10004,,"RIVER YAMUNA AT
KHOJKIPUR PANIPAT",HARYANA,,23.0,
30029,,"RIVER YAMUNA AT
SONIPAT, BAGHPAT
ROAD(HARYANA)",HARYANA,,31.0,
1119,,"RIVER YAMUNA AT
SONEPAT",HARYANA,,-,
10005,,"RIVER YAMUNA AT
PALLA,SONEPAT",HARYANA,,-,
30026,,"RIVER YAMUNA AT
PALLA (DELHI)",DELHI,,17.0,
1120,,"RIVER YAMUNA AT
PALLA, DELHI",DELHI,,17.0,
5098,,"RIVER YAMUNA AT
WAZIRABAD",DELHI,,-,
5099,,"RIVER YAMUNA AT
ISBT BRIDGE",DELHI,,-,
5100,,"RIVER YAMUNA AT
ITO BRIDGE",DELHI,,-,
1121,,"RIVER YAMUNA AT
NIZAMUDDIN, DELHI",DELHI,,17.0,
1375,,"RIVER YAMUNA AT
OKHLA BRIDGE
(INLET OF AGRA
CANAL), DELHI",DELHI,,16.0,
1812,,"RIVER YAMUNA AT
OKHLA AFTER
MEETING OF
SHAHDARA DRAIN,
DELHI",DELHI,,17.0,
"STATI
ON
CODE",,"NAME OF
MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA,,,,,
,"NOTIFIED UNDER E(P) RULES, 1986",,,,,
1497,,"RIVER YAMUNA AT
RAHIMPUR KA
NAGLA, NEAR
FLYOVER BRIDGE
(MAZAWALI)",HARYANA,,26.0,
30030,,"RIVER YAMUNA AT
ASGARPUR
VILLAGE,U.P","UTTAR
PRADESH",,24.0,
30031,,"RIVER YAMUNA AT
HASANPUR",HARYANA,,24.0,
30024,,"RIVER YAMUNA AT
MOHENA PALWAL
ROAD, HARYANA",HARYANA,,23.0,
2493,,"RIVER YAMUNA AT
SHAHPUR","UTTAR
PRADESH",,12.0,
2495,,"RIVER YAMUNA AT
KESIGHAT,
VRINDAVAN","UTTAR
PRADESH",,14.0,
1123,,"RIVER YAMUNA AT
MATHURA U/S , U.P.","UTTAR
PRADESH",,17.0,
2494,,"RIVER YAMUNA AT
VISHRAMGHAT,
MATHURA","UTTAR
PRADESH",,14.0,
1124,,"RIVER YAMUNA AT
MATHURA D/S , U.P.","UTTAR
PRADESH",,17.0,
1125,,"RIVER YAMUNA AT
AGRA U/S, U.P.","UTTAR
PRADESH",,26.0,
1126,,"RIVER YAMUNA AT
D/S OF AGRA, U.P.","UTTAR
PRADESH",,26.0,
1498,,"RIVER YAMUNA AT
BATESWAR","UTTAR
PRADESH",,13.0,
10081,,"RIVER YAMUNA AT
ETAWAH D/S","UTTAR
PRADESH",,16.5,
10082,,"RIVER YAMUNA AT
UDI","UTTAR
PRADESH",,16.4,
1127,,"RIVER YAMUNA AT
ETAWAH, U.P.","UTTAR
PRADESH",,22.6,
"STATI
ON
CODE",,"NAME OF
MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA,,,,,
,"NOTIFIED UNDER E(P) RULES, 1986",,,,,
1499,,"RIVER YAMUNA AT
JUHIKA B/C WITH
CHAMBAL, ETAWAH,
U.P","UTTAR
PRADESH",,17.2,
30034,,"RIVER YAMUNA AT
ETAWAH","UTTAR
PRADESH",,26.0,
30033,,"RIVER YAMUNA A/C
OF CHAMBAL AT
SHERGARH, JUHIKA
(U.P)","UTTAR
PRADESH",,25.0,
2283,,"RIVER YAMUNA AT
HAMIRPUR","UTTAR
PRADESH",,22.9,
1069,,"RIVER YAMUNA AT
ALLAHABAD D/S
(BALUA GHAT), U.P","UTTAR
PRADESH",,18.7,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA,,,,,
,"NOTIFIED UNDER E(P) RULES, 1986",,,,,
1510,,"RIVER TONS
SIRMAUR","HIMACHAL
PRADESH",,8.0,
30023,,"RIVER TONS AT
HARIPUR (U.K.)","UTTARAKH
AND",,18.4,
4027,,"RIVER GIRI D/S
RAJGARH TOWN","HIMACHAL
PRADESH",,11.0,
4028,,"RIVER GIRI D/S
LAIGIDHAR TRUST,
BARU SAHIB","HIMACHAL
PRADESH",,12.0,
4427,,"RIVER GIRI U/S
CHAILLA","HIMACHAL
PRADESH",,9.0,
2621,,"RIVER GIRI AT D/S
YASHWANT NAGAR","HIMACHAL
PRADESH",,8.0,
3876,,"RIVER GIRI AFTER
CONFLUENCE OF
ASHWANI RIVER AT
GIRIPUL, YASHWANT
NAGAR","HIMACHAL
PRADESH",,8.0,
2622,,"RIVER GIRI AT U/S
CCI MINES","HIMACHAL
PRADESH",,16.0,
2623,,"RIVER GIRI D/S
SATAUN","HIMACHAL
PRADESH",,16.0,
3877,,"RIVER GIRI U/S LWSS
AT SAINJ","HIMACHAL
PRADESH",,8.0,
3878,,"RIVER GIRI D/S LWSS
AT SAINJ","HIMACHAL
PRADESH",,8.0,
3860,,"RIVER GIRI D/S
CEMENT
CORPORATION OF
INDIA, RAJBAN","HIMACHAL
PRADESH",,15.0,
2619,,"RIVER PABBAR AT
D/S SWARAKUDDU","HIMACHAL
PRADESH",,7.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA,,,,,
,"NOTIFIED UNDER E(P) RULES, 1986",,,,,
10102,,"RIVER HINDON AT
MOHAN NAGAR U/S","UTTAR
PRADESH",,19.0,
10103,,"RIVER HINDON AT
MOHAN NAGAR D/S","UTTAR
PRADESH",,19.0,
10106,,"RIVER HINDON AT
GHAZIABAD U/S","UTTAR
PRADESH",,19.0,
10100,,"RIVER HINDON AT
BARNAWA U/S","UTTAR
PRADESH",,15.0,
10101,,"RIVER HINDON AT
BARNAWA D/S","UTTAR
PRADESH",,13.0,
1483,,"RIVER HINDON
AFTER CONFL. WITH
R. KRISHNA & KALI
NEAR BINAULI
TOWN, PURA
MAHADEV, MEERUT,
U.P.","UTTAR
PRADESH",,14.0,
2496,,"RIVER HINDON AT
SARDHANA
BUDHANA ROAD,
VILLAGE BAPARSI,
MEERUT","UTTAR
PRADESH",,14.0,
1358,,"RIVER HINDON AT
GHAZIABAD D/S,
U.P.","UTTAR
PRADESH",,19.0,
1356,,"RIVER BETWA
BEFORE CONF.
YAMUNA AT
HAMIRPUR, U.P.","UTTAR
PRADESH",,16.0,
30079,,"RIVER BETWA AT
SUKMA DUKMA
DAM, JHANSI","UTTAR
PRADESH",,22.7,
1614,,"RIVER BETWA NEAR
INTAKE POINT,
VIDISHA","MADHYA
PRADESH",,19.0,
